date,nav
2023-01-01,1000000.0
2023-01-02,1027697.6076218998
2023-01-03,1039403.8476218999
2023-01-04,1072955.7476219
2023-01-05,1083926.4276218999
2023-01-08,1107396.2576219
2023-01-09,1146893.0376219
2023-01-10,1116919.8876218998
2023-01-12,1097302.1744979
2023-01-17,1114708.9044979
2023-01-18,1107087.2044978999
2023-01-19,1100688.6144979
2023-01-23,1088822.0144979
2023-01-24,1089234.0844978997
2023-01-25,1107220.6844978998
2023-01-26,1103964.9644978999
2023-01-29,1101219.1144979
2023-01-30,1076296.1793607
2023-01-31,1064649.7493607001
2023-02-01,1067470.4493607
2023-02-02,1047079.5093606999
2023-02-05,1051820.6293607
2023-02-06,1053614.3708202997
2023-02-07,1090284.4308203
2023-02-08,1084218.5908203
2023-02-09,1094224.5408202999
2023-02-12,1067839.1708203
2023-02-14,1057275.0608203001
2023-02-15,1055245.5390703
2023-02-16,1047017.9925227
2023-02-20,1042979.1125227
2023-02-22,1071805.3717986
2023-02-23,1037155.3017986
2023-02-26,1041253.0417986
2023-02-27,1039570.5317985999
2023-02-28,1032226.7217986
2023-03-01,1025942.5913113999
2023-03-02,1018928.9413114
2023-03-05,1016029.8239926
2023-03-07,1013005.5835407999
2023-03-09,1013005.5835407999
2023-03-12,1013005.5835407999
2023-03-13,1010829.806409
2023-03-14,1012159.046409
2023-03-15,1011762.606409
2023-03-16,1012823.6664089999
2023-03-19,1011890.8664089999
2023-03-20,1019795.159869
2023-03-22,1016218.399869
2023-03-23,1008738.399869
2023-03-26,1003832.399869
2023-03-27,1004308.4798689999
2023-03-28,1005585.579869
2023-03-29,1004609.4398689999
2023-03-30,1001253.559869
2023-04-02,996116.779869
2023-04-03,993317.279869
2023-04-04,991122.415409
2023-04-05,991787.035409
2023-04-06,989455.035409
2023-04-09,985455.655409
2023-04-10,984791.035409
2023-04-11,988125.795409
2023-04-12,998118.415409
2023-04-13,993454.415409
2023-04-16,993454.415409
2023-04-17,990656.015409
2023-04-18,989455.035409
2023-04-19,991658.775409
2023-04-20,989396.735409
2023-04-23,988790.415409
2023-04-24,988790.415409
2023-04-25,990119.655409
2023-04-26,986924.815409
2023-04-27,989991.395409
2023-04-30,986061.975409
2023-05-02,984266.335409
2023-05-03,980068.735409
2023-05-04,980005.8680844
2023-05-07,980005.8680844
2023-05-08,980005.8680844
2023-05-09,980005.8680844
2023-05-10,980005.8680844
2023-05-11,980005.8680844
2023-05-14,980005.8680844
2023-05-15,980005.8680844
2023-05-16,980005.8680844
2023-05-17,980005.8680844
2023-05-18,980005.8680844
2023-05-21,980005.8680844
2023-05-22,980005.8680844
2023-05-23,980005.8680844
2023-05-24,980005.8680844
2023-05-28,980005.8680844
2023-05-30,980005.8680844
2023-05-31,980005.8680844
2023-06-01,980005.8680844
2023-06-04,980005.8680844
2023-06-05,974260.2217657
2023-06-06,995142.1717657
2023-06-07,988202.6917657
2023-06-08,993187.7917657
2023-06-11,1004452.9817656999
2023-06-12,1004458.3384257
2023-06-13,1020440.0684257
2023-06-14,1013667.2684256999
2023-06-15,1025063.5484256999
2023-06-18,1061870.8984257
2023-06-19,1065595.5042722002
2023-06-20,1026344.7142722
2023-06-21,1028459.9642722
2023-06-22,1047966.8942722001
2023-06-25,1072389.4398937
2023-06-26,1064208.4909441
2023-06-27,1082287.1809441
2023-06-28,1062131.4309441
2023-07-02,1036566.3409440999
2023-07-03,1022045.7009440999
2023-07-04,1032250.7009441
2023-07-05,1013427.1409441001
2023-07-06,1011504.5188935
2023-07-09,1030141.7988935
2023-07-10,1033843.7161454998
2023-07-11,1043703.2061455
2023-07-12,1043509.3661455
2023-07-13,1028917.2161454998
2023-07-16,1032049.4261455
2023-07-17,1065474.4178874
2023-07-18,1073480.5078874
2023-07-19,1070102.7078874
2023-07-20,1064300.3878873999
2023-07-23,1077973.3078874
2023-07-24,1060549.2951994
2023-07-25,1048090.6151994
2023-07-26,1041071.7251994
2023-07-27,1027398.7251994
2023-07-30,1011782.7451994
2023-07-31,1016322.9351994
2023-08-01,988651.0705693999
2023-08-02,996059.7105693999
2023-08-03,987645.1505693999
2023-08-06,975160.7505693999
2023-08-07,971905.9364193
2023-08-08,961463.3967809
2023-08-09,970184.8424017
2023-08-10,970319.3024016999
2023-08-13,973596.5624017
2023-08-14,969473.8874673
2023-08-15,953658.4574672999
2023-08-16,945887.8912929
2023-08-17,947189.0212928999
2023-08-20,944553.4912928999
2023-08-21,938317.7479439
2023-08-22,940823.9679438998
2023-08-23,949077.6779439
2023-08-24,938500.8279438999
2023-08-27,932305.1579438999
2023-08-28,931158.1979439
2023-08-29,931113.1979438999
2023-08-30,929951.1179438999
2023-09-03,922290.5379438999
2023-09-04,924235.7979438999
2023-09-05,931848.3179438999
2023-09-07,914913.4979438998
2023-09-10,919412.7279438999
2023-09-11,932292.7879438999
2023-09-12,928935.1979438999
2023-09-13,939780.4479438999
2023-09-17,923186.7179438999
2023-09-18,941654.8179438999
2023-09-19,927155.5079439
2023-09-21,928201.1279439
2023-09-24,915205.8579438998
2023-09-25,910233.1458438998
2023-09-26,911130.5058438999
2023-09-27,909548.0658439
2023-10-01,901141.2258438999
2023-10-02,901777.9758438999
2023-10-03,899150.8458438999
2023-10-04,898901.6058438999
2023-10-05,897521.4570688
2023-10-08,894096.1770688
2023-10-09,892888.4970687999
2023-10-10,892069.0861119999
2023-10-11,892069.0861119999
2023-10-12,892069.0861119999
2023-10-16,892069.0861119999
2023-10-17,892069.0861119999
2023-10-18,892069.0861119999
2023-10-19,892069.0861119999
2023-10-29,892069.0861119999
2023-10-30,892069.0861119999
2023-10-31,892069.0861119999
2023-11-01,892069.0861119999
2023-11-02,892069.0861119999
2023-11-05,892069.0861119999
2023-11-06,892069.0861119999
2023-11-07,892069.0861119999
2023-11-08,892069.0861119999
2023-11-09,892069.0861119999
2023-11-20,892069.0861119999
2023-11-21,892069.0861119999
2023-11-22,892069.0861119999
2023-11-23,892069.0861119999
2023-11-26,892069.0861119999
2023-11-27,892069.0861119999
2023-11-28,892069.0861119999
2023-11-29,892069.0861119999
2023-11-30,892069.0861119999
2023-12-03,892069.0861119999
2023-12-04,892069.0861119999
2023-12-05,892069.0861119999
2023-12-06,892069.0861119999
2023-12-07,892069.0861119999
2023-12-10,892069.0861119999
2023-12-11,884475.1792568001
2023-12-12,906629.0492568
2023-12-13,919118.9592568
2023-12-14,918111.5092568
2023-12-17,926509.9992568
2023-12-18,934326.6696852001
2023-12-19,959290.5896852
2023-12-20,1002304.6396852001
2023-12-21,1023705.8196852001
2023-12-24,999255.2096852
2023-12-27,1015709.3896852001
2023-12-28,1028212.8896852001
2024-01-01,1024963.9196852001
2024-01-02,1019757.0996852
2024-01-03,1079851.1497172
2024-01-04,1111631.0197172002
2024-01-07,1111220.3097172
2024-01-08,1120843.3297172
2024-01-09,1113812.7097172001
2024-01-10,1126094.9697172001
2024-01-11,1112310.7597172
2024-01-14,1113323.9697172001
2024-01-16,1153193.3291594002
2024-01-17,1148914.1591594
2024-01-18,1150465.5991594
2024-01-21,1136201.3891594
2024-01-22,1122209.2691594001
2024-01-23,1127803.7191594
2024-01-24,1122212.1942597
2024-01-25,1114143.0342597
2024-01-28,1119694.4442597001
2024-01-29,1127357.8942597
2024-01-30,1133205.9542597001
2024-01-31,1136322.2042597
2024-02-01,1115761.7007981
2024-02-04,1112212.2007981
2024-02-05,1112360.4323973001
2024-02-06,1112718.6723973001
2024-02-07,1112694.4323973001
2024-02-08,1115579.0523973
2024-02-11,1123573.3214696
2024-02-12,1126902.8557191002
2024-02-13,1117685.8757191
2024-02-14,1123009.1657191003
2024-02-15,1121059.1157191002
2024-02-18,1108778.7733771002
2024-02-20,1107659.3923119002
2024-02-21,1104913.3923119002
2024-02-22,1098864.3023119003
2024-02-25,1098361.2623119003
2024-02-26,1100551.9123119002
2024-02-27,1098936.2423119002
2024-02-28,1095985.4903681
2024-02-29,1093260.8903681003
2024-03-03,1092140.8403681002
2024-03-04,1116801.7641437002
2024-03-05,1100461.5341437003
2024-03-06,1101832.1541437001
2024-03-07,1102043.1341437001
2024-03-10,1102585.8941437001
2024-03-12,1113716.1695654
2024-03-13,1111031.5595654002
2024-03-14,1110284.8695654003
2024-03-17,1112857.2095654001
2024-03-18,1118612.6376854002
2024-03-19,1114882.7576854
2024-03-20,1118333.7376854
2024-03-21,1109646.0476854004
2024-03-25,1089948.2579312003
2024-03-26,1098076.8979312002
2024-03-27,1090977.2107745002
2024-03-28,1094023.3107745002
2024-03-31,1089689.6607745
2024-04-01,1085790.9032945002
2024-04-02,1083330.7359145002
2024-04-03,1080661.6859145002
2024-04-04,1076922.3359145003
2024-04-07,1085835.7359145002
2024-04-09,1073406.0299225003
2024-04-10,1058072.9799225002
2024-04-14,1060953.5999785003
2024-04-15,1054310.8316545002
2024-04-16,1051426.6316545003
2024-04-18,1042119.5316545003
2024-04-21,1038716.1316545003
2024-04-22,1025505.1316545003
2024-04-24,1022838.8690145003
2024-04-25,1027260.8690145003
2024-04-28,1036269.8690145003
2024-04-29,1051507.8894975004
2024-04-30,1053009.8782975003
2024-05-02,1038951.5782975003
2024-05-05,1024544.1782975002
2024-05-06,1024653.1782975004
2024-05-07,1023420.3782975003
2024-05-08,1027060.5782975003
2024-05-09,1038519.8782975003
2024-05-12,1032214.2782975003
2024-05-13,1034796.3257047003
2024-05-14,1052386.7457047002
2024-05-15,1042484.5057047002
2024-05-16,1040668.3457047003
2024-05-19,1045421.1457047003
2024-05-20,1032971.3657047002
2024-05-21,1041725.8257047003
2024-05-22,1039386.7257047003
2024-05-26,1048102.1857047004
2024-05-27,1051631.3457047003
2024-05-29,1064167.6857047002
2024-05-30,1073385.7457047002
2024-06-02,1061295.4032767003
2024-06-03,1053968.6208562003
2024-06-04,1078230.6108562003
2024-06-05,1067916.4608562002
2024-06-06,1042190.9408562001
2024-06-09,1035398.2381002002
2024-06-10,1040466.8049286003
2024-06-11,1071278.6349286002
2024-06-12,1081047.4349286002
2024-06-13,1052374.6749286002
2024-06-16,1041918.0742810003
2024-06-18,1034673.1650931003
2024-06-19,1032549.3450931002
2024-06-20,1035159.0450931003
2024-06-23,1029775.8850931004
2024-06-24,1029226.4940531002
2024-06-25,1029990.4740531002
2024-06-26,1025956.5440531003
2024-06-27,1027244.9640531003
2024-06-30,1033388.5340531002
2024-07-01,1043376.0340531002
2024-07-02,1055722.7640531003
2024-07-03,1065617.8640531003
2024-07-04,1051709.4140531004
2024-07-07,1059800.5940531
2024-07-08,1058190.1779331001
2024-07-09,1052348.0179331002
2024-07-10,1077118.1279331003
2024-07-11,1092499.0334091003
2024-07-14,1120911.8034091003
2024-07-15,1079433.5890089003
2024-07-16,1115224.8290089003
2024-07-17,1145807.1598009004
2024-07-18,1181744.2198009004
2024-07-21,1201032.1798009002
2024-07-22,1201572.7874609004
2024-07-23,1231271.4574609003
2024-07-24,1224385.7474609003
2024-07-25,1248249.3974609002
2024-07-28,1274057.1574609003
2024-07-29,1261496.4774609003
2024-07-30,1279294.9202478002
2024-07-31,1297751.1902478002
2024-08-01,1287383.2102478002
2024-08-05,1292515.0802478003
2024-08-06,1223011.8998728003
2024-08-07,1246901.7332728002
2024-08-08,1247064.7432728002
2024-08-11,1299035.4032728004
2024-08-12,1354194.0379044004
2024-08-13,1363889.0579044004
2024-08-14,1370768.0783976004
2024-08-15,1386824.3983976003
2024-08-18,1361284.6983976003
2024-08-21,1340351.4135351004
2024-08-22,1342672.3585171003
2024-08-25,1309760.3485171003
2024-08-27,1287255.4697871003
2024-08-28,1266720.8378586005
2024-08-29,1260493.4778586004
2024-09-01,1251096.0275076004
2024-09-02,1262519.3693967005
2024-09-03,1258433.0193967004
2024-09-04,1244722.1293967003
2024-09-05,1232526.9193967006
2024-09-08,1232843.6882703004
2024-09-09,1191133.6252760002
2024-09-10,1189207.4652760003
2024-09-11,1179837.0052760004
