symbol,signal_date,entry_date,entry_price,shares,position_value,exit_date,exit_price,signal_type,exit_reason,gross_return,net_return,net_pnl,buy_fees,sell_fees,holding_days
TRH,2023-01-01,2023-01-02,369.9,540,199746.0,2023-01-12,413.46,liquidity,trailing_stop,0.1177615571776156,0.10878220748350406,21728.810816,845.95606,947.633124,10
ALICL,2023-01-01,2023-01-02,371.1,506,187776.6,2023-02-06,401.94,liquidity,trailing_stop,0.08310428455941787,0.07424982470446258,13942.379633599989,796.7618259999999,865.8985404,35
NABIL,2023-01-01,2023-01-02,735.5,271,199320.5,2023-02-15,675.0,fundamental,stop_loss,-0.08225696804894633,-0.09041482940791339,-18021.529005,844.207255,781.8217500000001,44
UAIL,2023-01-01,2023-01-02,309.5,646,199937.0,2023-02-16,337.46,liquidity,trailing_stop,0.09033925686591271,0.08147287586789832,16289.442382399986,846.74107,925.9765476,45
NMB50,2023-02-20,2023-02-22,4.93,40567,199995.31,2023-03-01,4.56,liquidity,trailing_stop,-0.07505070993914809,-0.08323725797019942,-16647.061211300002,846.9807241,790.2904871999999,7
NEPSE,2023-01-29,2023-01-30,2166.31,92,199300.52,2023-03-05,1967.49,fundamental,stop_loss,-0.09177818502430402,-0.09989694184440662,-19909.512455999997,844.1251371999999,773.9473187999998,34
BARUN,2023-01-01,2023-01-02,154.13,1297,199906.61,2023-03-07,167.54,liquidity,trailing_stop,0.0870044767404139,0.07815175986977117,15623.053381099995,846.6161670999999,923.1004518,64
HBL,2023-03-19,2023-03-20,233.0,858,199914.0,2023-04-04,217.0,liquidity,trailing_stop,-0.06866952789699576,-0.07688241443820842,-15369.871,846.64654,795.2244600000001,15
HDHPC,2023-03-12,2023-03-13,171.43,1166,199887.38,2023-05-04,157.71,fundamental,stop_loss,-0.08003266639444673,-0.08819888707531212,-17629.844456400002,846.5371318000001,785.7873246,52
SEF,2023-06-18,2023-06-19,6.77,24905,168606.84999999998,2023-06-25,6.27,liquidity,trailing_stop,-0.07385524372230434,-0.08209790131302495,-13842.268532,717.9741534999999,671.7943784999999,6
CHCL,2023-06-04,2023-06-05,410.16,487,199747.92,2023-07-06,402.58,liquidity,trailing_stop,-0.01848059293934079,-0.02689998474977872,-5373.21600180002,845.9639512,835.7920505999999,31
NLIC,2023-06-25,2023-06-26,702.16,221,155177.36,2023-07-17,642.51,fundamental,stop_loss,-0.08495214765865322,-0.0931774274784672,-14459.027207699995,662.7789496,613.5982581,21
OHL,2023-06-04,2023-06-05,614.29,325,199644.25,2023-08-01,715.24,liquidity,holding_period,0.16433606277165524,0.15516515152577656,30977.830302500017,845.5378675,985.38183,57
SALICO,2023-06-04,2023-06-05,645.0,310,199950.0,2023-08-01,708.0,liquidity,holding_period,0.0976744186046512,0.08877790797699425,17751.1427,846.7945,932.0628,57
GFCL,2023-06-11,2023-06-12,469.0,426,199794.0,2023-08-07,459.0,liquidity,trailing_stop,-0.021321961620469065,-0.029729611900257264,-5939.79808,846.1533400000001,833.6447400000001,56
NEPSE,2023-07-23,2023-07-24,2227.2,64,142540.8,2023-08-08,2047.71,fundamental,stop_loss,-0.08058997844827576,-0.08886460807291657,-12666.832326399986,610.842688,568.6296384,15
SHINE,2023-07-09,2023-07-10,323.3,596,192686.80000000002,2023-08-09,317.32,fundamental,trailing_stop,-0.018496752242499248,-0.026926167891106238,-5188.31712720001,816.9427479999999,807.2943792,30
SHIVM,2023-08-06,2023-08-07,462.56,432,199825.92,2023-08-16,421.97,fundamental,stop_loss,-0.08775077827741262,-0.09588536214721288,-19160.38070559999,846.2845312000001,779.2161744,9
ENL,2023-08-20,2023-08-21,1004.1,199,199815.9,2023-09-25,890.0,liquidity,stop_loss,-0.11363410018922415,-0.12166231740817425,-24310.065449000005,846.2433490000001,757.9221,35
SANIMA,2023-08-06,2023-08-07,274.31,729,199971.99,2023-10-05,252.29,fundamental,stop_loss,-0.08027414239364228,-0.088439254187549,-17685.373654000006,846.8848789,785.9087751000001,59
NEPSE,2023-08-13,2023-08-14,2079.24,96,199607.03999999998,2023-10-10,1908.28,fundamental,stop_loss,-0.08222235047421167,-0.09037995799747335,-18040.47589119998,845.3849344,782.9309568,57
USLB,2023-12-17,2023-12-18,662.0,128,84736.0,2024-01-03,754.6,liquidity,trailing_stop,0.13987915407854978,0.13043517598187315,11052.555072000003,373.26496000000003,426.979968,16
MEN,2023-12-10,2023-12-11,315.69,633,199831.77,2024-01-24,393.19,liquidity,trailing_stop,0.24549399727580856,0.23598978543601953,47158.2565256,846.3085747,1052.9348996999997,44
PRIN,2023-12-17,2023-12-18,618.42,323,199749.65999999997,2024-02-01,588.72,liquidity,trailing_stop,-0.04802561366061886,-0.05632357303737078,-11250.61456419998,845.9711026,811.5434616000001,45
NRN,2023-12-10,2023-12-11,222.45,899,199982.55,2024-02-11,412.93,liquidity,holding_period,0.8562823106316027,0.8442679663390632,168838.86079180002,846.9282804999999,1555.7309277,62
NABBC,2023-12-17,2023-12-18,241.1,829,199871.9,2024-02-18,261.8,liquidity,holding_period,0.08585649108253834,0.07700844465380083,15391.824149000015,846.4735089999999,922.0023420000001,62
AHPC,2024-01-14,2024-01-16,175.69,542,95223.98,2024-02-20,178.46,fundamental,trailing_stop,0.015766406739142758,0.006904021203482628,657.4283770000056,416.3705578,427.54106520000005,35
BARUN,2024-02-04,2024-02-05,182.96,1093,199975.28,2024-02-28,167.06,fundamental,stop_loss,-0.08690424136423269,-0.09504209892642734,-19006.070344600008,846.8984008,780.4719438000001,23
SMJC,2024-03-03,2024-03-04,355.42,562,199746.04,2024-03-25,340.81,fundamental,trailing_stop,-0.0411062967756457,-0.04943269953486941,-9873.985978600007,845.9562244,817.2097542,21
