symbol,date,close,chg_1d,chg_5d,chg_20d,volume,vol_vs_ma20,rsi,score_pct,sig_count,sig_vol_surge,sig_range_expand,sig_compression,sig_vol_trend,sig_rsi_up,warn_consolidating,warn_near_support,warn_basing,warn_count
NICD88,2026-06-04,1140.5,5.8,2.75,5.48,1020,12.36,65.9,80.3,4,True,True,False,True,True,True,False,False,1
BFC,2026-06-10,529.0,1.73,10.69,15.43,173251,6.06,82.4,80.3,4,True,True,False,True,True,False,False,False,0
OHL,2026-06-10,710.0,1.72,1.08,2.9,6302,4.36,59.2,80.3,4,True,True,False,True,True,True,True,True,3
PFL,2026-06-10,385.0,0.52,2.94,4.39,4832,0.98,56.4,80.3,4,True,True,False,True,True,True,False,True,2
EBLD86,2026-06-05,1130.0,-1.31,4.79,4.44,0,0.0,66.3,80.3,4,True,True,False,True,True,True,False,False,1
SAPDBL,2026-06-10,1015.0,10.33,22.22,29.96,234489,6.25,81.8,80.3,4,True,True,False,True,True,False,False,False,0
CITY,2026-06-10,417.0,4.51,11.05,2.46,406705,2.76,56.2,80.3,4,True,True,False,True,True,False,False,False,0
CBLD88,2026-06-08,1255.7,5.52,2.93,-2.66,252,1.88,59.0,80.3,4,True,True,False,True,True,True,False,False,1
UHEWA,2026-06-10,644.0,1.42,9.86,13.76,222441,6.47,72.8,80.3,4,True,True,False,True,True,False,False,False,0
SKBBL,2026-06-10,768.6,0.8,0.21,-0.18,18034,2.13,53.7,71.8,4,True,False,True,True,True,True,True,True,3
MSLB,2026-06-10,1250.0,0.81,0.4,0.4,1166,1.9,50.0,71.1,3,True,True,False,True,False,True,False,True,2
ULBSL,2026-06-10,2979.0,-8.34,1.5,0.81,2069,1.99,50.9,71.1,3,True,True,False,True,False,False,False,False,0
BHPL,2026-06-10,534.9,-0.89,-3.1,2.47,14063,1.58,52.4,71.1,3,True,True,False,True,False,True,False,True,2
SFCL,2026-06-10,385.0,-0.03,-0.26,3.77,10487,1.25,53.5,71.1,3,True,True,False,True,False,True,False,True,2
NYADI,2026-06-10,406.0,0.5,-5.36,3.84,18784,1.54,55.3,71.1,3,True,True,False,True,False,True,False,True,2
SLBSL,2026-06-10,1217.0,-0.16,0.83,1.42,662,0.71,50.0,71.1,3,True,True,False,True,False,False,True,True,2
JSLBB,2026-06-10,1086.0,0.0,-1.36,-3.04,29,0.09,47.4,71.1,3,True,True,False,True,False,True,True,True,3
CFCL,2026-06-10,656.0,-1.2,6.86,31.73,179057,2.27,87.0,71.1,3,True,True,False,True,False,False,False,False,0
RLFL,2026-06-10,490.0,-0.81,5.29,12.9,97594,3.72,72.2,71.1,3,True,True,False,True,False,True,False,False,1
GMFIL,2026-06-10,491.0,-1.41,1.66,7.58,28265,1.69,58.7,71.1,3,True,True,False,True,False,True,False,False,1
TRH,2026-06-10,770.0,1.18,0.92,1.32,1882,1.05,57.3,67.6,3,True,True,False,False,True,True,True,True,3
KBSH,2026-06-10,1585.9,6.5,5.34,0.69,810,3.01,54.5,67.6,3,True,True,False,False,True,True,False,False,1
SIGS2,2026-06-10,10.81,0.28,2.46,4.44,18295,2.23,57.9,67.6,3,True,True,False,False,True,True,True,True,3
VLBS,2026-06-10,717.0,0.56,0.7,1.92,5436,1.57,54.6,62.7,3,True,False,True,True,False,True,False,False,1
NIBLGF,2026-06-10,9.39,0.0,-0.11,-2.19,16400,3.37,49.9,62.7,3,True,False,True,True,False,True,True,True,3
NBLD87,2026-06-04,1138.4,2.55,0.74,4.44,671,7.35,58.3,62.7,3,True,False,True,True,False,True,False,True,2
BHL,2026-06-10,215.7,-0.14,-2.18,-3.06,140401,1.49,37.1,62.7,3,True,False,True,True,False,True,True,False,2
SIGS3,2026-06-10,10.98,-0.18,-0.27,3.39,127000,11.42,52.9,62.7,3,True,False,True,True,False,True,True,True,3
BNHC,2026-06-10,330.0,1.85,-0.9,1.54,7736,1.93,49.9,62.7,3,True,False,True,True,False,True,True,True,3
LBBL,2026-06-10,493.4,0.08,-1.32,1.82,45764,1.08,52.6,62.7,3,True,False,True,True,False,True,True,True,3
UNL,2026-06-10,46800.0,-0.64,0.21,0.86,110,2.39,50.0,62.7,3,True,False,True,True,False,True,True,True,3
KPCL,2026-06-10,490.0,0.41,-1.01,0.2,5635,0.99,46.7,62.7,3,True,False,True,True,False,True,True,True,3
HATHY,2026-06-10,774.0,0.12,-2.15,-3.85,2349,0.51,32.3,62.7,3,True,False,True,True,False,True,True,False,2
RAWA,2026-06-10,549.0,0.37,-3.33,-8.33,3208,2.66,32.9,62.7,3,True,False,True,True,False,True,True,False,2
CYCL,2026-06-10,1443.0,0.12,-1.83,-1.97,768,1.79,36.3,62.7,3,True,False,True,True,False,True,True,True,3
CCBD88,2026-06-08,1260.0,-0.19,-1.18,3.53,130,1.34,53.6,62.7,3,True,False,True,True,False,True,False,True,2
NADEP,2026-06-10,746.0,-1.03,-1.84,-1.58,1031,1.03,46.4,62.7,3,True,False,True,True,False,True,True,True,3
UMHL,2026-06-10,594.9,2.62,2.22,6.61,102353,4.49,64.9,59.2,3,True,False,True,False,True,True,False,True,2
NICBF,2026-06-10,9.2,0.22,-2.44,-1.39,16500,6.28,39.9,58.5,2,True,True,False,False,False,True,True,True,3
RADHI,2026-06-10,749.0,-0.79,-3.73,-1.45,59224,1.28,40.5,58.5,2,True,True,False,False,False,True,True,False,2
NICSF,2026-06-10,9.49,0.53,2.15,2.71,34650,1.88,58.9,52.1,3,True,False,False,True,True,True,False,True,2
NIBLSTF,2026-06-10,9.36,0.86,1.96,2.86,13400,1.62,55.8,52.1,3,True,False,False,True,True,True,False,True,2
MPFL,2026-06-10,648.0,0.47,2.21,6.4,38667,2.24,60.0,52.1,3,True,False,False,True,True,True,False,False,1
MMF1,2026-06-10,9.45,0.43,0.32,-0.53,24945,1.32,47.8,52.1,3,True,False,False,True,True,True,False,True,2
NFS,2026-06-10,629.4,2.42,3.86,11.2,62624,4.79,74.7,52.1,3,True,False,False,True,True,True,False,False,1
PROFL,2026-06-10,465.0,0.43,2.88,5.68,11336,1.79,65.3,52.1,3,True,False,False,True,True,True,False,False,1
GBILD86/87,2026-06-04,1135.9,0.97,0.97,5.87,953,6.07,66.6,52.1,3,True,False,False,True,True,True,False,False,1
SPIL,2026-06-10,734.4,-0.03,-0.22,2.86,5321,0.92,61.7,50.0,2,True,False,True,False,False,True,False,True,2
PBD88,2026-06-10,1221.0,2.94,1.75,2.18,10,0.1,52.7,50.0,3,False,True,False,True,True,True,True,True,3
CIT,2026-06-10,1744.9,-0.12,-1.08,-1.19,3565,0.77,35.3,50.0,2,True,False,True,False,False,True,True,True,3
NMFBS,2026-06-10,1140.0,0.87,0.0,2.24,4059,1.12,56.8,50.0,2,True,False,True,False,False,True,True,True,3
NSY,2026-06-10,9.59,0.95,0.84,0.95,22600,2.23,54.3,50.0,3,False,True,False,True,True,True,True,True,3
SPL,2026-06-10,707.0,1.0,0.94,-2.62,370,0.15,48.6,50.0,3,False,True,False,True,True,True,True,True,3
BGWT,2026-06-10,659.9,0.98,1.52,-1.36,1254,0.63,45.5,50.0,3,False,True,False,True,True,True,True,True,3
LICN,2026-06-10,813.0,-0.18,-0.85,0.12,7671,0.75,46.1,50.0,2,True,False,True,False,False,True,True,True,3
UAIL,2026-06-10,487.5,1.56,1.14,10.54,24033,1.23,71.2,50.0,2,True,False,True,False,False,True,False,False,1
NICGF2,2026-06-10,9.61,-0.1,2.56,-0.72,12600,2.9,53.2,50.0,3,False,True,False,True,True,True,False,True,2
BBC,2026-06-10,4350.0,-0.46,-2.95,-9.38,198,0.45,32.8,50.0,2,True,False,True,False,False,True,True,False,2
SIFC,2026-06-10,565.0,1.18,0.89,6.0,35315,3.17,58.5,43.0,2,True,False,False,True,False,True,False,False,1
SMPDA,2026-06-10,833.0,-0.83,-0.6,-1.77,1599,0.97,41.4,43.0,2,True,False,False,True,False,True,True,True,3
GUFL,2026-06-10,574.8,-0.02,1.91,9.9,15907,1.28,75.1,43.0,2,True,False,False,True,False,True,False,False,1
GFCL,2026-06-10,648.1,-0.29,-1.8,5.04,12620,0.99,58.2,43.0,2,True,False,False,True,False,True,False,False,1
MNBBL,2026-06-10,374.5,0.13,-0.27,0.13,27215,1.28,52.9,43.0,2,True,False,False,True,False,True,True,True,3
JFL,2026-06-10,421.0,0.72,1.45,3.44,7459,1.66,55.8,43.0,2,True,False,False,True,False,True,False,False,1
RMF1,2026-06-10,9.85,-0.51,0.51,-2.38,12500,0.97,49.7,43.0,2,True,False,False,True,False,True,True,True,3
GBIME,2026-06-10,239.8,0.33,0.46,2.26,138940,2.05,61.4,43.0,2,True,False,False,True,False,True,True,True,3
MLBS,2026-06-10,1245.0,2.05,-3.64,-0.4,282,1.12,43.0,43.0,2,True,False,False,True,False,True,True,False,2
AHL,2026-06-10,487.0,-0.41,-1.24,-13.96,2598,0.3,40.9,40.8,2,False,True,False,True,False,True,True,False,2
PSF,2026-06-10,12.1,-1.22,-1.63,1.0,10800,0.36,46.8,40.8,2,False,True,False,True,False,True,True,True,3
ULHC,2026-06-10,428.0,-6.75,-7.96,-13.18,48476,2.45,32.9,40.8,2,False,True,False,True,False,False,True,False,1
SAGF,2026-06-10,10.13,-0.69,0.2,-0.78,1600,0.49,47.1,40.8,2,False,True,False,True,False,True,True,True,3
SBCF,2026-06-10,9.85,1.86,0.0,-1.89,20500,2.16,53.7,40.8,2,False,True,False,True,False,True,True,True,3
HEIP,2026-06-10,338.0,-0.59,0.09,9.35,474,0.64,55.0,40.8,2,False,True,False,True,False,True,False,False,1
SALICO,2026-06-10,630.0,0.0,-0.32,6.96,2367,0.34,64.9,40.8,2,False,True,False,True,False,True,False,False,1
MERO,2026-06-10,720.0,-0.48,-1.91,0.7,4405,1.34,49.1,40.8,2,False,True,False,True,False,True,True,True,3
NESDO,2026-06-10,1555.0,-0.58,1.3,1.97,153,0.25,54.2,39.4,2,True,False,False,False,True,True,True,True,3
NIMBD90,2026-06-04,1260.7,0.0,1.26,-0.5,0,0.0,55.3,37.3,2,False,True,False,False,True,True,False,True,2
NMB50,2026-06-05,10.99,-0.63,2.71,4.57,0,0.0,63.7,37.3,2,False,True,False,False,True,True,False,False,1
OMPL,2026-06-10,1148.0,0.44,-1.46,-1.71,1685,0.68,43.6,32.4,2,False,False,True,True,False,True,True,False,2
ACLBSL,2026-06-10,959.0,0.84,0.2,0.52,972,1.1,52.6,32.4,2,False,False,True,True,False,True,True,True,3
