Rank,Broker Name,Holding Vol,Holding Amt (Rs),Buy Vol,Buy Amt (Rs),Avg Buy,Buy Trans,Buy Vol %,Sell Vol,Sell Amt (Rs),Avg Sell,Sell Trans,Sell Vol %,H/B Ratio,Matched Vol,Matched Amt (Rs),Matched Trans
34,Vision Securities,118183,3.71 Cr,271300,8.53 Cr,314.53,1460,4.40,153117,4.82 Cr,314.86,1196,2.48,43.56,11417,3493788.1,66
21,Midas Stock Brokers,75649,2.31 Cr,141905,4.39 Cr,309.47,670,2.30,66256,2.07 Cr,313.38,523,1.07,53.31,2373,750450,11
28,Shree Krishna Securities,67699,2.07 Cr,95608,2.95 Cr,308.63,498,1.55,27909,87.79 L,314.57,297,0.45,70.81,120,35790,5
43,South Asian Business,55934,1.62 Cr,113175,3.46 Cr,306.08,542,1.83,57241,1.84 Cr,321.93,343,0.93,49.42,200,65800,1
16,Primo Securities,50717,1.60 Cr,103244,3.27 Cr,317.47,667,1.67,52527,1.67 Cr,319.17,564,0.85,49.12,350,116046,6
5,Market Securities,46146,1.53 Cr,77447,2.52 Cr,325.48,413,1.26,31301,98.88 L,315.90,232,0.51,59.58,2010,628471,3
84,Milky Way Share,35570,1.14 Cr,83687,2.70 Cr,322.73,352,1.36,48117,1.55 Cr,322.55,142,0.78,42.50,110,31572,2
50,Crystal Kanchanjunga,28413,92.26 L,101658,3.24 Cr,318.96,583,1.65,73245,2.31 Cr,316.72,441,1.19,27.95,515,161514,6
45,Imperial Securities,28001,68.61 L,246983,7.65 Cr,309.90,1667,4.00,218982,6.96 Cr,318.19,1757,3.55,11.34,8022,2439245.5,62
14,Nepal Stock Holdings,19810,53.09 L,124334,3.81 Cr,307.21,716,2.02,104524,3.28 Cr,314.63,751,1.69,15.93,4769,1410097.3,22
13,Thrive Brokerage,19234,53.90 L,100264,3.14 Cr,313.82,551,1.63,81030,2.60 Cr,321.79,519,1.31,19.18,1715,539551,7
20,Sipla Securities,17538,49.08 L,26990,80.13 L,296.90,114,0.44,9452,31.04 L,328.45,72,0.15,64.98,0,0,0
33,Dakshinkali Investment,13121,38.24 L,65124,2.04 Cr,313.91,388,1.06,52003,1.66 Cr,319.56,362,0.84,20.15,1140,360822,4
4,Opal Securities,11761,37.32 L,62666,1.98 Cr,316.74,653,1.02,50905,1.61 Cr,316.59,483,0.83,18.77,370,115093,8
86,Stoxkarts Securities,9881,31.44 L,28397,89.03 L,313.53,144,0.46,18516,57.58 L,311.02,94,0.30,34.80,0,0,0
74,Kalash Stock Market,9871,33.45 L,46476,1.47 Cr,316.38,272,0.75,36605,1.13 Cr,310.31,265,0.59,21.24,780,273354,2
92,Roadshow Securities,9820,32.58 L,37249,1.22 Cr,328.79,189,0.60,27429,89.88 L,327.72,72,0.44,26.36,1354,465640,5
53,Investment Management,9562,31.43 L,87652,2.88 Cr,329.62,390,1.42,78090,2.57 Cr,329.73,341,1.27,10.91,704,239108,5
18,Sagarmatha Securities,9489,29.50 L,22490,71.19 L,316.55,96,0.36,13001,41.68 L,320.63,115,0.21,42.19,0,0,0
11,Malla & Malla,9239,28.65 L,50420,1.59 Cr,316.17,402,0.82,41181,1.30 Cr,317.53,386,0.67,18.32,250,76890,8
